ProjectID,ClientName,Industry,ServiceType,Region,StartDate,EndDate,TotalTests,PassedTests,DefectsFound,CriticalDefects,AutomationRate (%),OnTimeDelivery (%),CustomerSatisfaction (1–5),DefectsPer1000,EffectiveEndDate
P001,BankOne,Banking,Functional Testing,North America,1/5/2023,3/16/2023,4430,3857,169,13,32,90,4.3,31.65,3/16/2023
P002,MediCare+,Healthcare,Automation Testing,Europe,2/1/2023,4/3/2023,7459,6704,117,6,57,82,4.5,13.57,4/3/2023
P003,ShopEZ,Retail & E-Comm,Performance Testing,India,1/20/2023,3/2/2023,2644,2327,158,27,48,80,3.7,55.62,3/2/2023
P004,FinCore,Banking,Security Testing,Middle East,3/1/2023,4/25/2023,6500,5852,116,20,54,85,4.2,18.7,4/25/2023
P005,GreenEnergy,Energy,Managed Testing Service,LATAM,2/15/2023,5/10/2023,7199,6502,210,27,56,88,4.1,31.47,5/10/2023
P006,Client6,Retail & E-Comm,Security Testing,LATAM,2/10/2023,8/8/2023,4424,3858,175,24,48,85,4.4,31.37,8/8/2023
P007,Client7,Technology,Performance Testing,North America,5/20/2023,11/1/2023,10522,9340,58,49,29,84,4.2,5.77,11/1/2023
P008,Client8,Technology,Automation Testing,Middle East,2/10/2023,7/26/2023,12304,11092,361,5,53,72,3.9,27.54,7/26/2023
P009,Client9,Technology,Automation Testing,India,6/1/2023,9/26/2023,6076,5484,128,14,44,86,3.4,18.89,9/26/2023
P010,Client10,Public Sector,Security Testing,LATAM,4/3/2023,7/28/2023,7106,6355,291,20,39,73,3.4,42.3,7/28/2023
P011,Client11,Healthcare,Managed Testing Service,Middle East,6/27/2023,8/9/2023,4219,3626,369,8,29,76,4.1,83.06,8/9/2023
P012,Client12,Energy,Performance Testing,LATAM,5/4/2023,12/28/2023,5205,4573,315,10,29,84,3.7,50,12/28/2023
P013,Client13,Technology,Automation Testing,Europe,4/2/2023,7/6/2023,5562,4887,307,36,51,86,3.5,68.7,7/6/2023
P014,Client14,Healthcare,Automation Testing,North America,5/1/2023,10/28/2023,7798,6812,165,32,53,88,4.4,20.3,10/28/2023
P015,Client15,Energy,Performance Testing,LATAM,5/4/2023,9/12/2023,11201,10142,290,29,75,82,3.2,33.93,9/12/2023
P016,Client16,Banking,Managed Testing Service,Europe,3/14/2023,11/23/2023,10172,9354,70,37,32,77,4,5.5,11/23/2023
P017,Client17,Retail & E-Comm,Managed Testing Service,North America,6/20/2023,8/4/2023,6884,6027,336,6,71,73,4,47.4,8/4/2023
P018,Client18,Banking,Automation Testing,Middle East,6/21/2023,10/22/2023,8487,7353,350,7,67,88,4.5,33.44,10/22/2023
P019,Client19,Public Sector,Functional Testing,North America,6/26/2023,9/28/2023,6548,5839,303,5,40,86,3.4,43.38,9/28/2023
